Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,47pF,C161322
"C10, C9",0402,2,3.3pF,C76906
C11,0402,1,2.4pF,C88888
"C12, C7",0402,2,1.8pF,C76902
"C14, C15",0402,2,1nF,C162197
C16,0402,1,1uF,C77006
C17,0402,1,470nF,C88946
C18,0402,1,100nF,C77020
"C19, C20, C23, C25, C27, C29, C39",0603,7,100nF,C16194197
C22,0402,1,100n,KAM05FR71H104KH
"C24, C26, C28, C30",0603,4,4.7uF,C907917
"C31, C32",0603,2,27pF,C909846
"C33, C34",0603,2,2u2,C77047
"C35, C36, C37, C38",0603,4,1uF,C20041637
C4,0402,1,3.0pF,C88891
C40,0603,1,0.33uF,C2178511
C5,0402,1,5.6pF,C88895
"C6, C8",0402,2,39pF,C426038
"D1, D5",0603,2,LED_Y,C20433848
D2,0603,1,LED_R,C23070302
D3,0603,1,LED_G,C20433785
D4,D_SOD-882,1,D_Schottky,C396063
F2,1206,1,5A,C3166463
"J10, J9",HARWIN_M80-5011005,2,M80,C17382082
"J11, J5",Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,2,MICROFIT,C277721
J15,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,UART JST,B3B-PH-K-S
J3,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,USB_B_Micro,C132562
J4,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,SWD JST PH,C131334
J6,SMA-KE-16.5A_EdgeMount,1,RFIO SMA,C3173357
L1,0402,1,47nH,C192855
L2,0402,1,0R,C190119
L3,0402,1,2.5nH,C703121
L4,0402,1,4.7nH,C167480
L5,0402,1,9.1nH,C337956
L6,0402,1,15nH,C91621
L7,0805,1,15uH,C383402
R1,0603,1,100K,C237792
"R10, R6",0603,2,10k,
R12,0603,1,10k,C98220
"R14, R17",0603,2,549R,C4237517
"R15, R16",0603,2,220R,C2484076
"R2, R5",0402,2,0R,
"R3, R4",0402,2,100R,C82865
"R7, R8",0603,2,120R,C3995226
R9,0603,1,33R,C295794
U1,Texas_DYY0014A_TSOT-23-14,1,TCAN1046,C3233845
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262,C191341
U3,SOT-363_SC-70-6,1,PE4259 RF Switch,C470892
U4,LQFP-64_10x10mm_P0.5mm,1,STM32H562RGT6,C19711662
"U5, U6",SOT-353_SC-70-5,2,SC573V33RTRC,C3751903
U7,TO-252-3_TabPin2,1,MC78M05BDTRKG,MC78M05BDTRKG
Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,32.000MHz,TYETBCSANF-32.000000
Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,12MHz,ABM8G-12.000MHZ-18-D2Y-T
