Designator,Mid X,Mid Y,Rotation,Layer
C1,152.82,-81.195,90.0,top
C10,173.17,-84.025,270.0,top
C11,154.345,-83.8,0.0,top
C12,154.345,-84.85,0.0,top
C14,166.895,-81.375,90.0,top
C15,166.945,-85.725,270.0,top
C16,151.15,-81.025,0.0,top
C17,145.395,-82.8,270.0,top
C18,144.945,-84.7,180.0,top
C19,126.245,-99.4,180.0,top
C2,153.87,-81.2,90.0,top
C20,135.745,-100.45,0.0,top
C22,155.99,-105.825,0.0,top
C23,153.87,-91.725,90.0,top
C24,152.32,-91.725,90.0,top
C25,143.37,-92.925,180.0,top
C26,143.37,-94.525,180.0,top
C27,141.47,-104.525,90.0,top
C28,143.02,-106.225,270.0,top
C29,154.1,-108.9,270.0,top
C30,152.5,-108.9,90.0,top
C31,158.845,-105.225,0.0,top
C32,158.687512,-99.197299,0.0,top
C33,145.67,-91.325,90.0,top
C34,150.924686,-108.912246,270.0,top
C35,163.745,-110.425,270.0,top
C36,163.97,-113.575,90.0,top
C37,159.195,-110.705,90.0,top
C38,158.67,-108.325,180.0,top
C39,162.37,-113.6,90.0,top
C4,157.54,-81.698743,0.0,top
C40,174.62,-117.0,270.0,top
C5,159.045,-82.275,90.0,top
C6,160.545,-82.7165,0.0,top
C7,164.02,-82.245,90.0,top
C8,168.62,-83.55,0.0,top
C9,170.12,-84.025,270.0,top
D1,122.945,-123.35,90.0,top
D2,126.095,-123.375,90.0,top
D3,129.12,-123.3625,90.0,top
D4,155.97,-107.425,180.0,top
D5,132.02,-123.3625,90.0,top
F2,124.145,-113.4,90.0,top
H1,124.645,-79.45,0.0,top
H2,117.37,-121.85,0.0,top
H3,175.245,-92.2,0.0,top
H4,175.17,-111.85,0.0,top
J10,117.97,-87.475,90.0,top
J11,154.72,-120.06,0.0,top
J15,167.845,-93.4,270.0,top
J3,139.445,-123.975,0.0,top
J4,175.935,-101.425,270.0,top
J5,166.42,-120.03,0.0,top
J6,176.231667,-83.5265,180.0,top
J9,117.97,-108.125,90.0,top
JP3,168.045,-100.825,180.0,top
JP4,162.57,-107.3625,0.0,top
JP5,122.82,-93.075,90.0,top
JP6,159.17,-113.825,180.0,top
JP7,122.795,-106.025,270.0,top
JP8,122.795,-101.95,270.0,top
JP9,122.82,-97.175,270.0,top
L1,154.945,-82.275,90.0,top
L2,153.42,-82.7165,0.0,top
L3,157.52,-82.75,0.0,top
L4,162.51,-82.725,0.0,top
L5,171.635,-83.55,0.0,top
L6,152.845,-84.325,90.0,top
L7,143.945,-82.3875,90.0,top
R1,130.87,-102.95,180.0,top
R10,161.4,-102.275,270.0,top
R12,149.378869,-108.900782,270.0,top
R14,122.945,-120.275,270.0,top
R15,129.12,-120.2875,270.0,top
R16,126.095,-120.3,270.0,top
R17,132.02,-120.275,270.0,top
R2,161.505,-94.7,0.0,top
R3,165.887172,-85.75,90.0,top
R4,165.845,-81.35,270.0,top
R5,161.51,-93.725,0.0,top
R6,157.5,-111.0,90.0,top
R7,124.92,-94.95,270.0,top
R8,124.97,-105.1,270.0,top
R9,155.895,-109.675,270.0,top
U1,130.12,-99.575,180.0,top
U2,148.57,-84.1875,0.0,top
U3,166.095,-83.55,180.0,top
U4,149.07,-100.525,90.0,top
U5,163.195,-104.75,0.0,top
U6,161.27,-110.4375,270.0,top
U7,168.47,-108.66,90.0,top
Y1,148.395,-79.25,90.0,top
Y2,158.77,-102.225,270.0,top
