Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,47pF,GRM155R71C473KA01D 
"C10, C9",0402,2,3.3pF,GJM1555C1H3R3BB01D 
C11,0402,1,2.4pF,GJM1555C1H2R4BB01D 
"C12, C7",0402,2,1.8pF,GJM1555C1H1R8BB01D 
"C13, C3",0402,2,???,
"C14, C15",0402,2,1nF,GRM155R72A102KA01D 
C16,0402,1,1uF,GRM155R61C105KA12D 
C17,0402,1,470nF,GRM155R71A474KE01D 
C18,0402,1,100nF,GRM155R71H104KE14D 
"C19, C20, C23, C25, C27, C29",0603,6,100nF,CL10E104KC8VPNC
C2,0402,1,47pF,GJM1555C1H470JB01D 
C22,0402,1,100n,
"C24, C26, C28, C30",0603,4,4.7uF,GRT188C81E475KE13D
"C31, C32",0603,2,27pF,GCM1885C2A270JA16D
"C33, C34",0603,2,2u2,
C4,0402,1,3.0pF,GJM1555C1H3R0BB01D 
C5,0402,1,5.6pF,GJM1555C1H5R6CB01D 
"C6, C8",0402,2,39pF,GJM1555C1H390JB01D 
D1,0603,1,LED_Y,TLMY1100-GS15
D2,0603,1,LED_G,TLMG1100-GS15
D3,0603,1,LED_R,TLMS1000-GS15
D4,D_SOD-882,1,D_Schottky,"CTS05S40,L3F"
F2,1206,1,5A,C1F 5
"J10, J9",Harwin_LTek-Male_2x05_P2.00mm_Vertical,2,M80-5301042,
J3,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,USB_B_Micro,10118193-0001LF
J4,PinHeader_1x04_P2.54mm_Vertical,1,SWD JST PH,B4B-PH-K-S
J5,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
J6,SMA-KE-16.5A_EdgeMount,1,RFIO SMA,142-0701-841
L1,0402,1,47nH,LQW15AN47NJ00D 
L2,0402,1,0R,CRCW04020000Z0ED 
L3,0402,1,2.5nH,LQW15AN2N5C00D 
L4,0402,1,4.7nH,LQW15AN4N7C00D 
L5,0402,1,9.1nH,LQW15AN9N1H00D 
L6,0402,1,15nH,LQW15AN15NH00D 
L7,0805,1,15uH,MLZ2012M150WT000
"R1, R2",0603,2,100K,RMCF0603FT100K
"R10, R11",0603,2,27R,RMCF0201FT27R0
R12,0603,1,10k,
R14,0603,1,549R,RMCF0603FT549R
"R15, R16",0603,2,220R,RMCF0603JT220R
"R17, R18, R19",0603,3,0R,
R20,0603,1,0R,CRCW06030000Z0EA
"R3, R4",0402,2,100R,CRCW0402100RFKED
"R7, R8",0603,2,120R,RMCF0603JT120R
R9,0603,1,33R,
U1,Texas_DYY0014A_TSOT-23-14,1,TCAN1046,TCAN1046AVDYYRQ1
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262,SX1262IMLTRT
U3,Vishay_PowerPAK_SC70-6L_Dual,1,PE4259 RF Switch,PE4259 
U4,LQFP-64_10x10mm_P0.5mm,1,STM32H562RGT6,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,32.000MHz,ABM8-32.000MHZ-B2-T
Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,12MHz,ABM8G-12.000MHZ-18-D2Y-T
